fecha,activo,modelo,particion,senal,retorno_futuro,precio_cierre
2023-07-27,BTC_USD,Regresion Logistica,validacion,0,0.0037094442045335,29210.689453125
2023-07-28,BTC_USD,Regresion Logistica,validacion,0,-0.0015450628224417,29319.24609375
2023-07-31,BTC_USD,Regresion Logistica,validacion,0,0.0151302338260884,29230.111328125
2023-08-01,BTC_USD,Regresion Logistica,validacion,1,-0.0178075075169093,29675.732421875
2023-08-02,BTC_USD,Regresion Logistica,validacion,0,0.000916180779175,29151.958984375
2023-08-03,BTC_USD,Regresion Logistica,validacion,0,-0.0035908335462961,29178.6796875
2023-08-04,BTC_USD,Regresion Logistica,validacion,0,0.0047652738023778,29074.091796875
2023-08-07,BTC_USD,Regresion Logistica,validacion,0,0.0198463869790533,29180.578125
2023-08-08,BTC_USD,Regresion Logistica,validacion,1,-0.0068771014170617,29765.4921875
2023-08-09,BTC_USD,Regresion Logistica,validacion,1,-0.004471948989328,29561.494140625
2023-08-10,BTC_USD,Regresion Logistica,validacion,0,-0.0010837469218066,29429.591796875
2023-08-11,BTC_USD,Regresion Logistica,validacion,0,0.0042776140747162,29397.71484375
2023-08-14,BTC_USD,Regresion Logistica,validacion,0,-0.0081291201187537,29408.443359375
2023-08-15,BTC_USD,Regresion Logistica,validacion,0,-0.0161935848387037,29170.34765625
2023-08-16,BTC_USD,Regresion Logistica,validacion,0,-0.0736241200960619,28701.779296875
2023-08-17,BTC_USD,Regresion Logistica,validacion,0,-0.0233342486538112,26664.55078125
2023-08-18,BTC_USD,Regresion Logistica,validacion,0,-0.0025019588646069,26049.556640625
2023-08-21,BTC_USD,Regresion Logistica,validacion,0,-0.0035464695192522,26124.140625
2023-08-22,BTC_USD,Regresion Logistica,validacion,0,0.0152484555491608,26031.65625
2023-08-23,BTC_USD,Regresion Logistica,validacion,0,-0.010239565761125,26431.640625
2023-08-24,BTC_USD,Regresion Logistica,validacion,0,-0.0043939924369393,26162.373046875
2023-08-25,BTC_USD,Regresion Logistica,validacion,0,0.0006305878251208,26047.66796875
2023-08-28,BTC_USD,Regresion Logistica,validacion,0,0.060249892570851,26106.150390625
2023-08-29,BTC_USD,Regresion Logistica,validacion,1,-0.0156342893713229,27727.392578125
2023-08-30,BTC_USD,Regresion Logistica,validacion,0,-0.0513291454495893,27297.265625
2023-08-31,BTC_USD,Regresion Logistica,validacion,0,-0.0050548143006733,25931.47265625
2023-09-01,BTC_USD,Regresion Logistica,validacion,0,-0.0012573014244295,25800.724609375
2023-09-05,BTC_USD,Regresion Logistica,validacion,0,-0.0010380138015933,25779.982421875
2023-09-06,BTC_USD,Regresion Logistica,validacion,0,0.0187321055019505,25753.236328125
2023-09-07,BTC_USD,Regresion Logistica,validacion,0,-0.0128311498605087,26240.1953125
2023-09-08,BTC_USD,Regresion Logistica,validacion,0,-0.0262618810674803,25905.654296875
2023-09-11,BTC_USD,Regresion Logistica,validacion,0,0.0263051279529175,25162.654296875
2023-09-12,BTC_USD,Regresion Logistica,validacion,0,0.0151738529586858,25833.34375
2023-09-13,BTC_USD,Regresion Logistica,validacion,0,0.0118008351309716,26228.32421875
2023-09-14,BTC_USD,Regresion Logistica,validacion,0,0.0025972414093191,26539.673828125
2023-09-15,BTC_USD,Regresion Logistica,validacion,0,0.0082605113897513,26608.693359375
2023-09-18,BTC_USD,Regresion Logistica,validacion,0,0.0169311026624323,26754.28125
2023-09-19,BTC_USD,Regresion Logistica,validacion,0,-0.0029114788993918,27211.1171875
2023-09-20,BTC_USD,Regresion Logistica,validacion,0,-0.021020467716698,27132.0078125
2023-09-21,BTC_USD,Regresion Logistica,validacion,0,0.0004491505408555,26567.6328125
2023-09-22,BTC_USD,Regresion Logistica,validacion,0,0.0015851607862177,26579.568359375
2023-09-25,BTC_USD,Regresion Logistica,validacion,0,-0.0030935695955251,26298.48046875
2023-09-26,BTC_USD,Regresion Logistica,validacion,0,0.0051537828527894,26217.25
2023-09-27,BTC_USD,Regresion Logistica,validacion,0,0.0250632062349595,26352.716796875
2023-09-28,BTC_USD,Regresion Logistica,validacion,1,-0.0040726745702974,27021.546875
2023-09-29,BTC_USD,Regresion Logistica,validacion,0,-0.0163191457885158,26911.720703125
2023-10-02,BTC_USD,Regresion Logistica,validacion,1,-0.0036683170659445,27530.78515625
2023-10-03,BTC_USD,Regresion Logistica,validacion,0,0.0133777193024828,27429.978515625
2023-10-04,BTC_USD,Regresion Logistica,validacion,1,-0.0138906622558427,27799.39453125
2023-10-05,BTC_USD,Regresion Logistica,validacion,0,0.0191718837881559,27415.912109375
2023-10-06,BTC_USD,Regresion Logistica,validacion,1,-0.0126593877279259,27946.59765625
2023-10-09,BTC_USD,Regresion Logistica,validacion,0,-0.0070090060125914,27583.677734375
2023-10-10,BTC_USD,Regresion Logistica,validacion,0,-0.0190812208422717,27391.01953125
2023-10-11,BTC_USD,Regresion Logistica,validacion,0,-0.0043453816471778,26873.3203125
2023-10-12,BTC_USD,Regresion Logistica,validacion,0,0.0039380057832304,26756.798828125
2023-10-13,BTC_USD,Regresion Logistica,validacion,0,0.0488543973047657,26862.375
2023-10-16,BTC_USD,Regresion Logistica,validacion,1,-0.0036433994327744,28519.466796875
2023-10-17,BTC_USD,Regresion Logistica,validacion,1,-0.0030807197496875,28415.748046875
2023-10-18,BTC_USD,Regresion Logistica,validacion,1,0.013724231161473,28328.341796875
2023-10-19,BTC_USD,Regresion Logistica,validacion,1,0.0329857689825514,28719.806640625
2023-10-20,BTC_USD,Regresion Logistica,validacion,1,0.0981234055291609,29682.94921875
2023-10-23,BTC_USD,Regresion Logistica,validacion,1,0.0243427517877734,33086.234375
2023-10-24,BTC_USD,Regresion Logistica,validacion,1,0.017581001125127,33901.52734375
2023-10-25,BTC_USD,Regresion Logistica,validacion,1,-0.0100838184339324,34502.8203125
2023-10-26,BTC_USD,Regresion Logistica,validacion,1,-0.0072531692565719,34156.6484375
2023-10-27,BTC_USD,Regresion Logistica,validacion,1,-0.0010462557765204,33909.80078125
2023-10-30,BTC_USD,Regresion Logistica,validacion,1,0.0047829388016928,34502.36328125
2023-10-31,BTC_USD,Regresion Logistica,validacion,1,0.0219528756206894,34667.78125
2023-11-01,BTC_USD,Regresion Logistica,validacion,1,-0.014181643038139,35437.25390625
2023-11-02,BTC_USD,Regresion Logistica,validacion,1,-0.0059112069551451,34938.2421875
2023-11-03,BTC_USD,Regresion Logistica,validacion,1,-0.0003419870125084,34732.32421875
2023-11-06,BTC_USD,Regresion Logistica,validacion,1,0.0115264053036002,35037.37109375
2023-11-07,BTC_USD,Regresion Logistica,validacion,1,0.0059555252934752,35443.5625
2023-11-08,BTC_USD,Regresion Logistica,validacion,1,0.0286922398244658,35655.27734375
2023-11-09,BTC_USD,Regresion Logistica,validacion,1,0.016778346050334,36693.125
2023-11-10,BTC_USD,Regresion Logistica,validacion,1,-0.0150135370550292,37313.96875
2023-11-13,BTC_USD,Regresion Logistica,validacion,1,-0.0267843578397946,36502.35546875
2023-11-14,BTC_USD,Regresion Logistica,validacion,1,0.0638461992762783,35537.640625
2023-11-15,BTC_USD,Regresion Logistica,validacion,1,-0.0466297561906654,37880.58203125
2023-11-16,BTC_USD,Regresion Logistica,validacion,1,0.0121487469666794,36154.76953125
2023-11-17,BTC_USD,Regresion Logistica,validacion,1,0.0024153344549947,36596.68359375
2023-11-20,BTC_USD,Regresion Logistica,validacion,1,-0.0453926219219483,37476.95703125
2023-11-21,BTC_USD,Regresion Logistica,validacion,1,0.0442013894678362,35813.8125
2023-11-22,BTC_USD,Regresion Logistica,validacion,1,0.0114828809236324,37432.33984375
2023-11-24,BTC_USD,Regresion Logistica,validacion,1,-0.0060201767439216,37720.28125
2023-11-27,BTC_USD,Regresion Logistica,validacion,1,0.0153673136112338,37254.16796875
2023-11-28,BTC_USD,Regresion Logistica,validacion,1,0.0007241750284948,37831.0859375
2023-11-29,BTC_USD,Regresion Logistica,validacion,1,-0.0038571889984724,37858.4921875
2023-11-30,BTC_USD,Regresion Logistica,validacion,1,0.0255507301146281,37712.74609375
2023-12-01,BTC_USD,Regresion Logistica,validacion,1,0.0488565668865632,38688.75
2023-12-04,BTC_USD,Regresion Logistica,validacion,1,0.04882523455973,41980.09765625
2023-12-05,BTC_USD,Regresion Logistica,validacion,1,-0.0076105157033984,44080.6484375
2023-12-06,BTC_USD,Regresion Logistica,validacion,1,-0.0104271600369865,43746.4453125
2023-12-07,BTC_USD,Regresion Logistica,validacion,1,0.0199856832348002,43292.6640625
2023-12-08,BTC_USD,Regresion Logistica,validacion,1,-0.0596686466968369,44166.6015625
2023-12-11,BTC_USD,Regresion Logistica,validacion,1,0.0049916781642923,41243.83203125
2023-12-12,BTC_USD,Regresion Logistica,validacion,1,0.0341627495710368,41450.22265625
2023-12-13,BTC_USD,Regresion Logistica,validacion,1,0.0031014611592039,42890.7421875
2023-12-14,BTC_USD,Regresion Logistica,validacion,1,-0.0257616788095846,43023.97265625
2023-12-15,BTC_USD,Regresion Logistica,validacion,1,0.0299796695117895,41929.7578125
2023-12-18,BTC_USD,Regresion Logistica,validacion,1,-0.0083165707186152,42623.5390625
2023-12-19,BTC_USD,Regresion Logistica,validacion,1,0.0321647372447505,42270.52734375
2023-12-20,BTC_USD,Regresion Logistica,validacion,1,0.0049565656400486,43652.25
2023-12-21,BTC_USD,Regresion Logistica,validacion,1,0.0029305657871948,43869.15234375
2023-12-22,BTC_USD,Regresion Logistica,validacion,1,-0.0253744795398311,43997.90234375
2023-12-26,BTC_USD,Regresion Logistica,validacion,1,0.0214623912043401,42520.40234375
2023-12-27,BTC_USD,Regresion Logistica,validacion,1,-0.0189384832630336,43442.85546875
2023-12-28,BTC_USD,Regresion Logistica,validacion,1,-0.012474379352009,42627.85546875
2023-12-29,BTC_USD,Regresion Logistica,validacion,1,0.017742604013605,42099.40234375
2024-01-02,BTC_USD,Regresion Logistica,validacion,1,-0.0480649535787553,44957.96875
2024-01-03,BTC_USD,Regresion Logistica,validacion,1,0.0306073577182859,42848.17578125
2024-01-04,BTC_USD,Regresion Logistica,validacion,1,-0.0003900828451526,44179.921875
2024-01-05,BTC_USD,Regresion Logistica,validacion,1,0.0666242663558736,44162.69140625
2024-01-08,BTC_USD,Regresion Logistica,validacion,1,-0.0178454171064382,46970.50390625
2024-01-09,BTC_USD,Regresion Logistica,validacion,1,0.0105220327519483,46139.73046875
2024-01-10,BTC_USD,Regresion Logistica,validacion,1,-0.0055742411475225,46627.77734375
2024-01-11,BTC_USD,Regresion Logistica,validacion,1,-0.0788426288329936,46368.5859375
2024-01-12,BTC_USD,Regresion Logistica,validacion,1,0.0150113645058064,42853.16796875
2024-01-16,BTC_USD,Regresion Logistica,validacion,0,-0.0095997128258615,43154.9453125
2024-01-17,BTC_USD,Regresion Logistica,validacion,0,-0.0352539060043804,42742.65234375
2024-01-18,BTC_USD,Regresion Logistica,validacion,0,0.008599127738074,41262.05859375
2024-01-19,BTC_USD,Regresion Logistica,validacion,0,-0.0503089102812547,41618.40625
2024-01-22,BTC_USD,Regresion Logistica,validacion,0,0.0085235842579221,39507.3671875
2024-01-23,BTC_USD,Regresion Logistica,validacion,0,0.0057937057279857,39845.55078125
2024-01-24,BTC_USD,Regresion Logistica,validacion,0,-0.0035811572894929,40077.07421875
2024-01-25,BTC_USD,Regresion Logistica,validacion,0,0.0460765744948169,39933.80859375
2024-01-26,BTC_USD,Regresion Logistica,validacion,0,0.0293644157369146,41816.87109375
2024-01-29,BTC_USD,Regresion Logistica,validacion,0,-0.0077837449899358,43288.24609375
2024-01-30,BTC_USD,Regresion Logistica,validacion,0,-0.0086515528090469,42952.609375
2024-01-31,BTC_USD,Regresion Logistica,validacion,0,0.0115148902942397,42582.60546875
2024-02-01,BTC_USD,Regresion Logistica,validacion,0,0.0025523745302443,43075.7734375
2024-02-02,BTC_USD,Regresion Logistica,validacion,0,0.0017617075316479,43185.859375
2024-02-05,BTC_USD,Regresion Logistica,validacion,0,0.0099368047086992,42658.66796875
2024-02-06,BTC_USD,Regresion Logistica,validacion,0,0.0282286462102806,43084.671875
2024-02-07,BTC_USD,Regresion Logistica,validacion,1,0.0219456712821148,44318.22265625
2024-02-08,BTC_USD,Regresion Logistica,validacion,1,0.0399329954084116,45301.56640625
2024-02-09,BTC_USD,Regresion Logistica,validacion,1,0.0338814785316512,47147.19921875
2024-02-12,BTC_USD,Regresion Logistica,validacion,1,-0.0043285887601175,49958.22265625
2024-02-13,BTC_USD,Regresion Logistica,validacion,1,0.0410468495104089,49742.44140625
2024-02-14,BTC_USD,Regresion Logistica,validacion,1,0.0021560092291083,51826.6953125
2024-02-15,BTC_USD,Regresion Logistica,validacion,1,0.0042584326097615,51938.5546875
2024-02-16,BTC_USD,Regresion Logistica,validacion,1,0.0097196793373194,52160.203125
2024-02-20,BTC_USD,Regresion Logistica,validacion,1,-0.0085609043152299,52284.875
2024-02-21,BTC_USD,Regresion Logistica,validacion,1,-0.0103585476400142,51839.1796875
2024-02-22,BTC_USD,Regresion Logistica,validacion,1,-0.0112318061155125,51304.97265625
2024-02-23,BTC_USD,Regresion Logistica,validacion,1,0.0525111876569454,50731.94921875
2024-02-26,BTC_USD,Regresion Logistica,validacion,1,0.0459362164404731,54522.40234375
2024-02-27,BTC_USD,Regresion Logistica,validacion,1,0.0906952929770428,57085.37109375
2024-02-28,BTC_USD,Regresion Logistica,validacion,1,-0.0211224142700197,62504.7890625
2024-02-29,BTC_USD,Regresion Logistica,validacion,1,0.0200954657884248,61198.3828125
2024-03-01,BTC_USD,Regresion Logistica,validacion,1,0.0785670808490068,62440.6328125
2024-03-04,BTC_USD,Regresion Logistica,validacion,1,-0.0685829818149203,68330.4140625
2024-03-05,BTC_USD,Regresion Logistica,validacion,1,0.0354997002008663,63801.19921875
2024-03-06,BTC_USD,Regresion Logistica,validacion,1,0.0123081400525153,66106.8046875
2024-03-07,BTC_USD,Regresion Logistica,validacion,0,0.0203313122369879,66925.484375
2024-03-08,BTC_USD,Regresion Logistica,validacion,1,0.0439922985827462,68300.09375
2024-03-11,BTC_USD,Regresion Logistica,validacion,1,-0.0089498360493478,72123.90625
2024-03-12,BTC_USD,Regresion Logistica,validacion,1,0.0221668990640754,71481.2890625
2024-03-13,BTC_USD,Regresion Logistica,validacion,1,-0.0233524614583823,73083.5
2024-03-14,BTC_USD,Regresion Logistica,validacion,1,-0.0283089232920005,71396.59375
2024-03-15,BTC_USD,Regresion Logistica,validacion,1,-0.0123885075543686,69403.7734375
2024-03-18,BTC_USD,Regresion Logistica,validacion,1,-0.0871207318570082,67548.59375
2024-03-19,BTC_USD,Regresion Logistica,validacion,1,0.092510852968774,61912.7734375
2024-03-20,BTC_USD,Regresion Logistica,validacion,0,-0.0363186742262133,67913.671875
2024-03-21,BTC_USD,Regresion Logistica,validacion,1,-0.0264984466521593,65491.390625
2024-03-22,BTC_USD,Regresion Logistica,validacion,1,0.0397250476948794,63778.76171875
2024-03-25,BTC_USD,Regresion Logistica,validacion,0,0.000414778606564,69958.8125
2024-03-26,BTC_USD,Regresion Logistica,validacion,0,-0.0076374445429517,69987.8359375
2024-03-27,BTC_USD,Regresion Logistica,validacion,1,0.0183971899718808,69455.34375
2024-03-28,BTC_USD,Regresion Logistica,validacion,0,-0.0231370023332579,70744.953125
2024-04-01,BTC_USD,Regresion Logistica,validacion,1,-0.0629909043698857,69702.1484375
2024-04-02,BTC_USD,Regresion Logistica,validacion,1,0.0081237430733199,65446.97265625
2024-04-03,BTC_USD,Regresion Logistica,validacion,0,0.0375988627118614,65980.8125
2024-04-04,BTC_USD,Regresion Logistica,validacion,0,-0.0098456304182885,68508.84375
2024-04-05,BTC_USD,Regresion Logistica,validacion,1,0.0321857940970219,67837.640625
2024-04-08,BTC_USD,Regresion Logistica,validacion,1,-0.0354137612037884,71631.359375
2024-04-09,BTC_USD,Regresion Logistica,validacion,0,0.0207393012425347,69139.015625
2024-04-10,BTC_USD,Regresion Logistica,validacion,1,-0.007497782584512,70587.8828125
2024-04-11,BTC_USD,Regresion Logistica,validacion,1,-0.0417489701814346,70060.609375
2024-04-12,BTC_USD,Regresion Logistica,validacion,1,-0.0358109994965086,67195.8671875
2024-04-15,BTC_USD,Regresion Logistica,validacion,1,0.0060619201772289,63426.2109375
2024-04-16,BTC_USD,Regresion Logistica,validacion,1,-0.0405395853499448,63811.86328125
2024-04-17,BTC_USD,Regresion Logistica,validacion,1,0.0358412020861476,61276.69140625
2024-04-18,BTC_USD,Regresion Logistica,validacion,0,0.0051951428769122,63512.75390625
2024-04-19,BTC_USD,Regresion Logistica,validacion,1,0.0290089017592759,63843.5703125
2024-04-22,BTC_USD,Regresion Logistica,validacion,0,-0.0064603984899146,66837.6796875
2024-04-23,BTC_USD,Regresion Logistica,validacion,0,-0.0326063013162719,66407.2734375
2024-04-24,BTC_USD,Regresion Logistica,validacion,0,0.0031812827691917,64276.8984375
2024-04-25,BTC_USD,Regresion Logistica,validacion,0,-0.011328935219016,64481.70703125
2024-04-26,BTC_USD,Regresion Logistica,validacion,0,0.0114670917875564,63755.3203125
2024-04-29,BTC_USD,Regresion Logistica,validacion,0,-0.0514946297165421,63841.12109375
2024-04-30,BTC_USD,Regresion Logistica,validacion,0,-0.0400899234806571,60636.85546875
2024-05-01,BTC_USD,Regresion Logistica,validacion,0,0.0148143925496977,58254.01171875
2024-05-02,BTC_USD,Regresion Logistica,validacion,0,0.0617572064982481,59123.43359375
2024-05-03,BTC_USD,Regresion Logistica,validacion,0,-0.0136673647637241,62889.8359375
2024-05-06,BTC_USD,Regresion Logistica,validacion,0,-0.0131819299956466,63161.94921875
2024-05-07,BTC_USD,Regresion Logistica,validacion,0,-0.0185699862584938,62334.81640625
2024-05-08,BTC_USD,Regresion Logistica,validacion,0,0.029977308604179,61187.94140625
2024-05-09,BTC_USD,Regresion Logistica,validacion,0,-0.0364564546354889,63049.9609375
2024-05-10,BTC_USD,Regresion Logistica,validacion,0,0.0233714942378763,60792.77734375
2024-05-13,BTC_USD,Regresion Logistica,validacion,0,-0.0216740381115793,62901.44921875
2024-05-14,BTC_USD,Regresion Logistica,validacion,0,0.0738042976614984,61552.7890625
2024-05-15,BTC_USD,Regresion Logistica,validacion,0,-0.0157557243971512,66267.4921875
2024-05-16,BTC_USD,Regresion Logistica,validacion,0,0.0275228349050477,65231.58203125
2024-05-17,BTC_USD,Regresion Logistica,validacion,0,0.0751090888252983,67051.875
2024-05-20,BTC_USD,Regresion Logistica,validacion,0,-0.0185288571822953,71448.1953125
2024-05-21,BTC_USD,Regresion Logistica,validacion,1,-0.0145658695101849,70136.53125
2024-05-22,BTC_USD,Regresion Logistica,validacion,0,-0.0174065965877577,69122.3359375
2024-05-23,BTC_USD,Regresion Logistica,validacion,1,0.0087433946680479,67929.5625
2024-05-24,BTC_USD,Regresion Logistica,validacion,0,-0.0159539990459575,68526.1015625
2024-05-28,BTC_USD,Regresion Logistica,validacion,1,-0.0105705290938477,68296.21875
