activo,modelo,semilla,particion,n_periodos,retorno_total,cagr,volatilidad_anual,ratio_sharpe,ratio_sortino,caida_maxima,ratio_calmar,exposicion,n_operaciones,aciertos
PEP,DQN,1.0,prueba,427,-0.20593276566498697,-0.1272308714935042,0.12227157351321265,-1.0513709166177208,-0.6452719306979315,-0.22238304150360944,-0.5721248825146551,0.31381733021077285,61.0,0.48507462686567165
PEP,DQN,2.0,validacion,427,0.06141024564202602,0.03579873360632457,0.11487270252541538,0.3636853888852909,0.27932493173565476,-0.12914178546402255,0.27720488359128115,0.5409836065573771,31.0,0.5194805194805194
PEP,DQN,2.0,prueba,427,-0.10295679560613724,-0.06210947769128572,0.17255067876183247,-0.2856966792885905,-0.263662106114905,-0.18432606370009863,-0.33695439724866477,0.6323185011709602,59.0,0.4703703703703704
TLT,Comprar y mantener,,prueba,427,-0.007373727124165841,-0.0043583061708906135,0.11297941707096672,0.017747118295973422,0.017418377194032927,-0.09437599252002649,-0.04618024197166229,1.0,1.0,0.5035128805620609
TLT,DQN,0.0,validacion,427,0.0915491834850286,0.05305678084101206,0.058103739718086876,0.9186447783760744,0.44445524573108913,-0.052815313454719126,1.0045719199697634,0.1053864168618267,20.0,0.5555555555555556
TLT,DQN,0.0,prueba,427,-0.08129953065768436,-0.04881150976033155,0.062341340116893594,-0.771440525845855,-0.43260660111578875,-0.10602695623451419,-0.4603688674450723,0.33489461358313816,14.0,0.46153846153846156
TLT,DQN,1.0,validacion,427,0.008855891351283729,0.005216982381412993,0.15973847061578825,0.11228359783612993,0.10957588421417155,-0.2171094051342347,0.024029278594298712,0.9484777517564403,21.0,0.5135802469135803
TLT,DQN,1.0,prueba,427,-0.07685951554381365,-0.04610119070272234,0.10813785638373666,-0.38241039344075956,-0.3684693050593362,-0.13799846007572458,-0.33407032714296236,0.955503512880562,19.0,0.49754901960784315
TLT,DQN,2.0,validacion,427,-7.68033964210213e-05,-4.532730800299589e-05,0.07990171615115507,0.03930332817698832,0.022209774861613903,-0.07793453804493833,-0.0005816074508180112,0.2505854800936768,30.0,0.4953271028037383
TLT,DQN,2.0,prueba,427,-0.027026831806803653,-0.01603973908448053,0.07269318656518171,-0.1860648663416741,-0.1204863219939037,-0.1055739132387783,-0.15192900018968875,0.405152224824356,28.0,0.5028901734104047
GLD,Comprar y mantener,,prueba,427,0.6156284799892238,0.3272588794359965,0.24822592676610677,1.2661226692287135,1.1425090918057415,-0.2640451785702955,1.2394048670306317,1.0,1.0,0.5784543325526932
GLD,DQN,0.0,validacion,427,0.4430545127530876,0.2416606757284161,0.13223992543826008,1.7034336575678386,1.7348844756970174,-0.08120389771692915,2.975973845132749,0.9063231850117096,11.0,0.5322997416020672
GLD,DQN,0.0,prueba,427,0.2683730898094838,0.15062198310959585,0.19471492660866935,0.8192171247731518,0.655445907128596,-0.29079868239920503,0.5179596477773023,0.7798594847775175,33.0,0.5825825825825826
GLD,DQN,1.0,validacion,427,0.4268358905217251,0.23340578762500708,0.13614795137618507,1.6093469941548069,1.6717167441818284,-0.096984880828614,2.4066203477371704,0.9531615925058547,15.0,0.5356265356265356
